season,n_weeks,n_estimates,avg_ci_width,avg_acceptance
1,6,26,0.4880128307514053,0.8534102564102566
2,8,52,0.3307241664815779,0.7484423076923078
3,10,64,0.328085446740332,0.6094947916666666
4,10,74,0.3154747720872733,0.7167162162162162
5,10,75,0.2941936832358337,0.688231111111111
6,10,76,0.305189064999278,0.7397850877192983
7,10,75,0.3093441685528506,0.7003911111111111
8,11,91,0.28545197419383067,0.6960659340659341
9,10,92,0.2382232556262899,0.4967028985507247
10,10,74,0.31185638110319946,0.6975225225225224
11,10,75,0.29848716257051694,0.7373866666666667
12,10,74,0.31507391733752077,0.7817027027027027
13,10,75,0.2942460376919302,0.6121288888888888
14,10,82,0.2744077863638113,0.6737601626016261
15,10,83,0.2735217352187651,0.5694859437751004
16,10,84,0.29944018415380025,0.8458214285714285
17,11,92,0.2604188528823681,0.6671594202898551
18,10,80,0.3080253794575129,0.7555249999999999
19,11,94,0.2796817378003308,0.6607411347517731
20,10,82,0.26820345357912057,0.6013089430894308
21,11,93,0.2945798413920256,0.7303476702508962
22,10,85,0.27147305390618776,0.7240980392156863
23,11,97,0.2665023291333308,0.685639175257732
24,10,81,0.2514662454254398,0.6128395061728396
25,10,90,0.27167915709009527,0.7216
26,4,27,0.3007936744501596,0.4773827160493827
27,9,82,0.24705968961194086,0.5602235772357723
28,11,92,0.28782955366830537,0.7137898550724637
29,11,115,0.23391314073213187,0.7189710144927537
30,10,105,0.2248339036541063,0.5677365079365079
31,10,107,0.22023096296228967,0.5837258566978193
32,11,100,0.2524826606930183,0.5337466666666667
33,9,77,0.29731031747846665,0.7094242424242425
34,11,106,0.25453905647190084,0.6300125786163524
