rule,params,judge_weight,J,F,J_std,F_std,n_seasons,base_weight,delta,log_strength,Balance
Static Rank,w=30%,0.3,0.11033620161313537,0.98125,0.6821158720953961,0.05829611908180511,32,,,,0.19836710572872585
Static Rank,w=32%,0.325,0.11033620161313537,0.98125,0.6821158720953961,0.05829611908180511,32,,,,0.19836710572872585
Static Rank,w=35%,0.35,0.24703713554039075,0.9156249999999999,0.6208514893214427,0.1371800254227998,32,,,,0.389095628248856
Static Rank,w=38%,0.375,0.258566272843088,0.9093749999999999,0.6136686453064425,0.14221325316228445,32,,,,0.4026464508664553
Static Rank,w=40%,0.4,0.3520558723900426,0.8620326891575486,0.5438041310001558,0.1667679766276594,32,,,,0.4999366269842426
Static Rank,w=43%,0.42500000000000004,0.39439881953850536,0.825,0.5340469549524666,0.206155281280883,32,,,,0.5336712167321508
Static Rank,w=45%,0.45,0.4433701235832565,0.7875,0.508274064021609,0.23014940799402464,32,,,,0.5673286975586149
Static Rank,w=48%,0.47500000000000003,0.4548992608859537,0.778125,0.5070511181547884,0.24332896328838458,32,,,,0.5741468328214006
Static Rank,w=50%,0.5,0.664751115828407,0.704330083488925,0.31199552220706456,0.25160504447400245,30,,,,0.68396850209068
Dynamic+Log,"b=48%,δ=0.02,α=0.1",,0.6756791274256362,0.503125,0.42527524328463406,0.4971697239122672,32,0.47500000000000003,0.02,0.1,0.5767727696034596
Dynamic+Log,"b=48%,δ=0.015,α=0.3",,0.6756791274256362,0.503125,0.42527524328463406,0.4971697239122672,32,0.47500000000000003,0.015,0.3,0.5767727696034596
Dynamic+Log,"b=45%,δ=0.02,α=0.25",,0.6756791274256362,0.503125,0.42527524328463406,0.4971697239122672,32,0.45,0.02,0.25,0.5767727696034596
Dynamic+Log,"b=50%,δ=0.015,α=0.2",,0.6756791274256362,0.503125,0.42527524328463406,0.4971697239122672,32,0.5,0.015,0.2,0.5767727696034596
Dynamic+Log,"b=52%,δ=0.01,α=0.3",,0.6756791274256362,0.503125,0.42527524328463406,0.4971697239122672,32,0.525,0.01,0.3,0.5767727696034596
Dynamic+Log,"b=55%,δ=0.01,α=0.15",,0.6756791274256362,0.503125,0.42527524328463406,0.4971697239122672,32,0.55,0.01,0.15,0.5767727696034596
Static Rank,w=52%,0.525,0.7452256379724255,0.49375,0.2961708082026291,0.48149344491903523,32,,,,0.593966736995826
Static Rank,w=55%,0.55,0.7941969420171766,0.4375,0.24962239795253005,0.509748712602592,32,,,,0.5641991142421293
Static Rank,w=58%,0.5750000000000001,0.8407609006242649,0.38125000000000003,0.20618794604095125,0.5620484298528019,32,,,,0.5246108572958679
Static Rank,w=62%,0.625,0.8818983312334624,0.32499999999999996,0.13533056249573508,0.5994789404140899,32,,,,0.4749645434018747
Static Rank,w=65%,0.6500000000000001,0.8818983312334624,0.32499999999999996,0.13533056249573508,0.5994789404140899,32,,,,0.4749645434018747
Static Rank,w=60%,0.6000000000000001,0.8818983312334624,0.32499999999999996,0.13533056249573508,0.5994789404140899,32,,,,0.4749645434018747
Static Pct,w=85%,0.8500000000000001,0.8889562734694446,0.271875,0.1781765288646781,0.6114707551265227,32,,,,0.416399854423231
Static Pct,w=88%,0.875,0.9062655469948437,0.234375,0.1559094555507674,0.629786360105552,32,,,,0.3724328193492849
Static Pct,w=90%,0.9,0.9218905469948437,0.21875,0.13849303001071153,0.6535659396725015,32,,,,0.35359703371869555
Static Rank,w=73%,0.7250000000000001,0.9384864096921466,0.21250000000000002,0.08389515905005149,0.6632071697441154,32,,,,0.3465346944272865
Static Rank,w=70%,0.7000000000000001,0.9384864096921466,0.21250000000000002,0.08389515905005149,0.6632071697441154,32,,,,0.3465346944272865
Static Rank,w=68%,0.675,0.9384864096921466,0.21250000000000002,0.08389515905005149,0.6632071697441154,32,,,,0.3465346944272865
Static Rank,w=75%,0.75,0.9527933247726216,0.18091192154131586,0.06615314273279216,0.6732333168125676,32,,,,0.30408551362843267
Static Rank,w=78%,0.7750000000000001,0.9562655469948438,0.1625,0.06562167043479111,0.6845390785046533,32,,,,0.27779395185197153
Static Rank,w=85%,0.8500000000000001,0.9562655469948438,0.1625,0.06562167043479111,0.6845390785046533,32,,,,0.27779395185197153
Static Rank,w=88%,0.875,0.9562655469948438,0.1625,0.06562167043479111,0.6845390785046533,32,,,,0.27779395185197153
Static Rank,w=80%,0.8,0.9562655469948438,0.1625,0.06562167043479111,0.6845390785046533,32,,,,0.27779395185197153
Static Rank,w=90%,0.9,0.9562655469948438,0.1625,0.06562167043479111,0.6845390785046533,32,,,,0.27779395185197153
Static Rank,w=83%,0.8250000000000002,0.9562655469948438,0.1625,0.06562167043479111,0.6845390785046533,32,,,,0.27779395185197153
